"id;mes;anio;pais;tipoProducto;pesoToneladas;montoMillonesDolares"
"1;Septiembre;2024;Nicaragua;flores;196;4804.5703"
"2;Junio;2022;Brasil;cosmeticos;133;2082.3462"
"3;Febrero;2022;Costa Rica;textiles;157;2109.2087"
"4;Abril;2021;Bolivia;frutas;90;877.193"
"5;Noviembre;2021;Argentina;textiles;64;4543.9066"
"6;Agosto;2020;Uruguay;frutas;140;120.2863"
"7;Noviembre;2021;Paraguay;pesca;85;3893.5592"
"8;Noviembre;2023;Peru;cosmeticos;51;4211.8463"
"9;Marzo;2021;Brasil;flores;26;494.1218"
"10;Octubre;2020;Panama;cacao;28;1980.4517"
"11;Mayo;2020;Bolivia;cosmeticos;77;4812.7938"
"12;Noviembre;2020;Guatemala;cafe;154;1417.5475"
"13;Diciembre;2020;Nicaragua;flores;104;1734.4815"
"14;Diciembre;2022;Canada;cosmeticos;150;1135.8702"
"15;Mayo;2020;Peru;cosmeticos;150;2209.8733"
"16;Noviembre;2022;Mexico;cacao;176;3569.0585"
"17;Abril;2024;Nicaragua;cacao;175;4751.7527"
"18;Junio;2019;Guatemala;cosmeticos;96;2418.5808"
"19;Diciembre;2022;El Salvador;frutas;25;789.4801"
"20;Febrero;2020;Mexico;pesca;189;991.6939"
"21;Julio;2022;Colombia;banano;119;3866.7169"
"22;Abril;2024;Argentina;frutas;33;315.4212"
"23;Agosto;2019;Brasil;textiles;156;3900.0142"
"24;Junio;2020;Cuba;cosmeticos;38;4256.2999"
"25;Enero;2019;Brasil;cafe;49;2170.647"
"26;Septiembre;2020;Argentina;cosmeticos;60;4475.2302"
"27;Agosto;2023;Panama;frutas;199;4665.8164"
"28;Agosto;2021;Honduras;frutas;6;4975.2107"
"29;Octubre;2019;Brasil;cafe;152;2353.1981"
"30;Septiembre;2024;El Salvador;cosmeticos;174;2724.0276"
"31;Octubre;2020;Honduras;cosmeticos;102;2229.1423"
"32;Febrero;2020;Brasil;frutas;91;4732.5899"
"33;Enero;2023;Estados Unidos;frutas;176;1718.432"
"34;Mayo;2021;Peru;cafe;134;1851.542"
"35;Noviembre;2019;Uruguay;flores;65;1845.8155"
"36;Mayo;2023;Republica Dominicana;textiles;46;4844.8337"
"37;Mayo;2021;Nicaragua;textiles;44;3758.0218"
"38;Marzo;2021;Venezuela;flores;62;4487.6933"
"39;Octubre;2019;Nicaragua;pesca;56;3489.4016"
"40;Octubre;2024;Mexico;cacao;139;349.8888"
"41;Diciembre;2023;Mexico;cafe;186;2025.9575"
"42;Enero;2022;Venezuela;flores;158;4155.661"
"43;Diciembre;2024;Uruguay;cafe;188;889.6332"
"44;Marzo;2020;Nicaragua;cacao;170;3385.8887"
"45;Febrero;2024;Costa Rica;cafe;60;2319.7204"
"46;Junio;2022;Nicaragua;pesca;29;1389.1849"
"47;Abril;2019;Mexico;pesca;158;199.2878"
"48;Febrero;2020;Chile;pesca;21;3673.5517"
"49;Febrero;2023;Nicaragua;flores;182;254.1755"
"50;Agosto;2023;Costa Rica;flores;142;4152.4846"
"51;Octubre;2022;Argentina;cafe;167;3377.6384"
"52;Septiembre;2022;Republica Dominicana;cosmeticos;31;3746.4186"
"53;Noviembre;2020;Colombia;frutas;159;2048.5412"
"54;Marzo;2019;Mexico;frutas;163;3605.7491"
"55;Noviembre;2023;Estados Unidos;cacao;43;2504.7127"
"56;Noviembre;2019;Brasil;cacao;128;3069.1565"
"57;Octubre;2023;Panama;pesca;107;2299.5839"
"58;Abril;2021;Puerto Rico;frutas;13;970.6762"
"59;Marzo;2020;Colombia;cafe;176;3345.2903"
"60;Diciembre;2022;Guatemala;cacao;40;2277.4175"
"61;Julio;2020;Cuba;banano;116;4115.8463"
"62;Julio;2024;Republica Dominicana;cosmeticos;116;3427.3231"
"63;Noviembre;2024;Nicaragua;frutas;145;1484.4853"
"64;Febrero;2021;Estados Unidos;cacao;17;3794.7542"
"65;Mayo;2021;Uruguay;flores;84;4471.8065"
"66;Abril;2023;Mexico;textiles;191;1076.5282"
"67;Diciembre;2019;Paraguay;pesca;17;1259.0504"
"68;Noviembre;2020;Paraguay;frutas;20;3815.8161"
"69;Febrero;2021;Uruguay;flores;37;4509.5672"
"70;Junio;2023;Bolivia;textiles;134;402.0719"
"71;Diciembre;2021;Argentina;cafe;10;1276.3113"
"72;Diciembre;2020;Bolivia;flores;69;2869.5536"
"73;Abril;2020;Colombia;textiles;144;2081.9008"
"74;Febrero;2024;Guatemala;banano;151;3548.1876"
"75;Mayo;2024;Canada;flores;122;2141.3674"
"76;Noviembre;2021;El Salvador;frutas;182;825.4526"
"77;Agosto;2020;Canada;flores;119;4197.5017"
"78;Abril;2020;Venezuela;pesca;89;1201.0842"
"79;Abril;2024;Guatemala;cacao;144;2859.282"
"80;Septiembre;2024;Uruguay;flores;197;4397.1537"
"81;Julio;2023;Costa Rica;flores;2;1711.4686"
"82;Septiembre;2024;Chile;frutas;91;4200.9594"
"83;Febrero;2019;Chile;banano;132;3189.4766"
"84;Septiembre;2022;Chile;cacao;185;792.7958"
"85;Junio;2023;Colombia;cacao;29;1099.5939"
"86;Noviembre;2021;Republica Dominicana;textiles;92;4548.9256"
"87;Julio;2021;Argentina;banano;3;342.49"
"88;Abril;2019;Cuba;cafe;76;4977.5294"
"89;Mayo;2021;El Salvador;pesca;48;4126.4235"
"90;Enero;2020;Paraguay;cafe;118;1036.4857"
"91;Julio;2024;Cuba;banano;145;3665.8846"
"92;Julio;2021;Colombia;cafe;67;2836.0172"
"93;Agosto;2022;Cuba;flores;97;3573.5304"
"94;Octubre;2023;Panama;flores;167;3582.4165"
"95;Febrero;2023;Canada;cosmeticos;15;4281.4961"
"96;Junio;2023;Nicaragua;cafe;13;4848.8584"
"97;Septiembre;2020;Costa Rica;flores;83;378.9394"
"98;Junio;2022;Cuba;cafe;16;694.3519"
"99;Noviembre;2020;Republica Dominicana;textiles;96;4139.6357"
"100;Agosto;2021;Uruguay;flores;109;2209.5879"
"101;Junio;2020;Brasil;flores;123;156.0414"
"102;Agosto;2019;Estados Unidos;flores;104;2576.4114"
"103;Enero;2022;Paraguay;cacao;27;3131.717"
"104;Octubre;2021;Brasil;cafe;135;4819.6727"
"105;Marzo;2021;Venezuela;cosmeticos;92;873.1477"
"106;Junio;2023;Republica Dominicana;banano;161;2563.7801"
"107;Mayo;2023;Brasil;cafe;42;3644.2793"
"108;Marzo;2022;Republica Dominicana;cosmeticos;195;3283.1416"
"109;Marzo;2021;Mexico;cosmeticos;40;3932.4572"
"110;Julio;2022;Colombia;pesca;153;3576.6979"
"111;Septiembre;2024;Puerto Rico;banano;15;1447.7048"
"112;Diciembre;2022;Nicaragua;banano;188;2105.0663"
"113;Octubre;2023;Panama;flores;144;1125.7872"
"114;Febrero;2020;Uruguay;cacao;167;3735.2788"
"115;Abril;2022;Costa Rica;frutas;44;3191.5038"
"116;Mayo;2019;Colombia;textiles;43;1397.1691"
"117;Mayo;2021;Uruguay;flores;83;1845.1559"
"118;Mayo;2022;Mexico;cosmeticos;120;2984.5639"
"119;Mayo;2020;Estados Unidos;cosmeticos;144;1143.0884"
"120;Julio;2024;Argentina;cafe;64;307.0973"
"121;Diciembre;2023;Bolivia;cafe;28;564.5957"
"122;Abril;2019;Nicaragua;cacao;139;3144.6704"
"123;Julio;2023;Chile;flores;103;4148.0265"
"124;Octubre;2021;Puerto Rico;cacao;153;2566.4982"
"125;Octubre;2020;Republica Dominicana;flores;83;4844.3476"
"126;Octubre;2020;Nicaragua;cafe;160;217.943"
"127;Noviembre;2019;El Salvador;textiles;174;668.128"
"128;Octubre;2021;Peru;cosmeticos;52;848.4303"
"129;Febrero;2019;Paraguay;cafe;127;1786.2392"
"130;Noviembre;2023;Colombia;banano;73;3518.6051"
"131;Junio;2019;Estados Unidos;textiles;43;3602.3636"
"132;Marzo;2023;Nicaragua;cafe;161;811.5885"
"133;Marzo;2024;Puerto Rico;pesca;104;2171.5164"
"134;Octubre;2019;Canada;cosmeticos;183;79.8952"
"135;Mayo;2019;Republica Dominicana;flores;194;4041.6232"
"136;Febrero;2021;Venezuela;pesca;153;2539.4267"
"137;Septiembre;2023;Estados Unidos;textiles;55;1631.6536"
"138;Febrero;2022;Nicaragua;cacao;72;2867.2612"
"139;Diciembre;2024;El Salvador;cafe;93;442.1353"
"140;Marzo;2023;Venezuela;cosmeticos;5;1603.8613"
"141;Marzo;2022;Nicaragua;cafe;48;414.1664"
"142;Febrero;2020;Costa Rica;cafe;114;3891.1993"
"143;Octubre;2023;Argentina;banano;191;4603.4241"
"144;Junio;2023;Venezuela;banano;5;2335.2151"
"145;Octubre;2022;Paraguay;textiles;149;4485.9207"
"146;Julio;2019;El Salvador;textiles;198;2562.488"
"147;Diciembre;2021;Canada;flores;6;293.3693"
"148;Agosto;2020;Bolivia;banano;33;2180.2449"
"149;Octubre;2024;Colombia;flores;63;1285.711"
"150;Octubre;2021;Nicaragua;textiles;58;1243.5965"
"151;Febrero;2024;Panama;frutas;49;680.7719"
"152;Abril;2022;Mexico;banano;49;4861.5678"
"153;Agosto;2023;Costa Rica;cafe;49;2549.8834"
"154;Julio;2024;Canada;cacao;10;4424.2641"
"155;Marzo;2020;Chile;flores;153;2453.4498"
"156;Mayo;2019;Uruguay;textiles;110;2426.066"
"157;Octubre;2020;Guatemala;textiles;15;4688.8145"
"158;Febrero;2023;Venezuela;pesca;79;344.7423"
"159;Agosto;2019;Mexico;cacao;52;2788.9859"
"160;Abril;2022;Nicaragua;frutas;29;928.5994"
"161;Octubre;2024;Canada;cafe;94;3399.6696"
"162;Noviembre;2024;Chile;banano;181;3440.8922"
"163;Octubre;2019;El Salvador;cafe;116;3232.9092"
"164;Noviembre;2020;Republica Dominicana;frutas;78;681.087"
"165;Enero;2021;Canada;frutas;61;1607.1645"
"166;Marzo;2024;Honduras;cacao;142;4540.7808"
"167;Julio;2022;Uruguay;flores;4;2500.7963"
"168;Octubre;2019;Peru;flores;29;3000.0525"
"169;Febrero;2024;Peru;frutas;140;1964.1133"
"170;Agosto;2019;Venezuela;frutas;94;4839.8386"
"171;Marzo;2022;Mexico;textiles;102;430.5574"
"172;Octubre;2023;Costa Rica;cacao;129;4811.2045"
"173;Mayo;2021;Costa Rica;textiles;182;1803.0891"
"174;Agosto;2019;Peru;cacao;181;2731.1799"
"175;Febrero;2022;Mexico;frutas;87;4026.8535"
"176;Enero;2024;Uruguay;banano;139;4686.0775"
"177;Abril;2019;Cuba;cacao;25;2535.0134"
"178;Marzo;2019;Uruguay;textiles;189;1504.1192"
"179;Abril;2021;Canada;pesca;7;139.1411"
"180;Agosto;2023;Mexico;banano;168;3400.176"
"181;Julio;2022;Estados Unidos;banano;141;1366.7155"
"182;Mayo;2023;Nicaragua;banano;139;3352.1575"
"183;Junio;2020;Argentina;cosmeticos;67;3201.3126"
"184;Septiembre;2020;Panama;textiles;119;3870.2989"
"185;Septiembre;2019;Bolivia;frutas;162;1150.4788"
"186;Diciembre;2024;Republica Dominicana;cacao;41;4896.3365"
"187;Noviembre;2019;Mexico;pesca;21;3885.2599"
"188;Abril;2024;Brasil;cacao;152;1647.8915"
"189;Septiembre;2021;Honduras;cacao;163;2114.4385"
"190;Mayo;2021;Honduras;cacao;155;1998.3643"
"191;Enero;2020;Peru;cafe;170;3739.6621"
"192;Julio;2023;Republica Dominicana;textiles;46;136.9836"
"193;Julio;2021;Venezuela;pesca;97;4846.2687"
"194;Julio;2023;Honduras;cosmeticos;131;2073.6245"
"195;Noviembre;2024;Venezuela;cafe;65;2819.4535"
"196;Diciembre;2020;Chile;textiles;65;98.0498"
"197;Enero;2023;Mexico;textiles;86;2232.0635"
"198;Junio;2023;Canada;cacao;39;2411.7727"
"199;Mayo;2021;Republica Dominicana;pesca;45;3841.8134"
"200;Septiembre;2022;Canada;banano;60;150.5783"
"201;Enero;2019;Puerto Rico;cafe;14;128.9958"
"202;Enero;2022;Puerto Rico;textiles;109;4280.4434"
"203;Noviembre;2024;Colombia;frutas;76;3133.6053"
"204;Septiembre;2023;Nicaragua;pesca;92;4897.5175"
"205;Noviembre;2022;Panama;cafe;17;2533.3995"
"206;Enero;2021;Colombia;cosmeticos;28;3872.5397"
"207;Julio;2021;El Salvador;cosmeticos;30;2164.0926"
"208;Noviembre;2022;Chile;flores;9;1682.5199"
"209;Febrero;2024;Cuba;pesca;43;2121.4363"
"210;Junio;2021;Colombia;flores;68;198.7379"
"211;Noviembre;2023;Canada;frutas;200;3431.6143"
"212;Junio;2022;Cuba;textiles;105;1345.593"
"213;Diciembre;2020;Canada;banano;7;1649.82"
"214;Noviembre;2022;Venezuela;pesca;63;2338.1578"
"215;Noviembre;2024;Estados Unidos;frutas;1;193.012"
"216;Febrero;2020;Republica Dominicana;cafe;166;4551.042"
"217;Marzo;2022;Venezuela;flores;29;4865.0246"
"218;Mayo;2022;Bolivia;cacao;144;584.4189"
"219;Agosto;2022;Colombia;frutas;183;3050.6765"
"220;Noviembre;2019;Venezuela;cacao;70;82.5555"
"221;Mayo;2022;Puerto Rico;pesca;183;417.3647"
"222;Octubre;2023;Paraguay;cafe;188;66.6907"
"223;Junio;2019;Bolivia;frutas;116;2226.6084"
"224;Abril;2021;Chile;flores;7;1811.0135"
"225;Noviembre;2022;Venezuela;pesca;86;4247.2341"
"226;Marzo;2021;Venezuela;banano;29;2623.2302"
"227;Abril;2022;Peru;cosmeticos;9;1489.9726"
"228;Noviembre;2024;Paraguay;frutas;88;1212.9463"
"229;Febrero;2023;Nicaragua;banano;139;3556.5211"
"230;Julio;2020;Panama;banano;54;2126.4061"
"231;Marzo;2022;Estados Unidos;cafe;95;624.5733"
"232;Junio;2020;Cuba;banano;35;2419.2295"
"233;Abril;2022;Panama;banano;23;4261.7751"
"234;Enero;2020;Peru;cosmeticos;107;3213.1222"
"235;Septiembre;2023;Estados Unidos;flores;181;3428.8299"
"236;Marzo;2020;Brasil;flores;129;1546.3915"
"237;Julio;2021;Guatemala;pesca;172;1400.7233"
"238;Agosto;2020;Guatemala;cafe;131;2941.3714"
"239;Agosto;2020;El Salvador;banano;146;4098.916"
"240;Noviembre;2020;Republica Dominicana;cosmeticos;151;2137.5737"
"241;Octubre;2019;Republica Dominicana;flores;77;2656.5529"
"242;Noviembre;2019;Chile;textiles;83;979.7978"
"243;Octubre;2023;Estados Unidos;frutas;114;4943.8678"
"244;Abril;2023;Republica Dominicana;banano;99;1886.1038"
"245;Noviembre;2021;El Salvador;cosmeticos;72;597.8115"
"246;Mayo;2023;Estados Unidos;banano;192;1009.1217"
"247;Agosto;2020;Chile;cosmeticos;14;3551.5838"
"248;Julio;2021;Costa Rica;pesca;127;3869.8314"
